Frame ID,QR id,QR 2D,QR 3D
73,15,"(456, 99),(573, 99),(573, 217),(457, 218)","dist: 1.6488431521739204, yaw: -179.27415902599725, pitch: -5.368271507532167, roll: -0.5664499037719603"
74,15,"(456, 102),(574, 102),(574, 220),(457, 221)","dist: 1.6469842181533645, yaw: -179.65896344085908, pitch: -3.896621107808748, roll: -0.4397908399497072"
75,15,"(454, 100),(575, 102),(574, 222),(455, 222)","dist: 1.6083787577028588, yaw: 179.13140837502903, pitch: -4.63474868713556, roll: 0.17241278755927258"
76,15,"(459, 96),(582, 98),(581, 221),(458, 220)","dist: 1.5792894603034786, yaw: 178.93632988044826, pitch: -3.3375369434235704, roll: 0.5788723248726964"
77,15,"(468, 102),(593, 106),(591, 229),(466, 227)","dist: 1.5682827918845177, yaw: 177.36901520187527, pitch: -1.9196177855669387, roll: 1.3926708108656205"
78,15,"(477, 103),(604, 105),(602, 231),(476, 230)","dist: 1.5491051068885082, yaw: 179.8266642050228, pitch: -2.4752920639443317, roll: 0.6088444036231717"
79,15,"(486, 92),(615, 95),(612, 223),(484, 222)","dist: 1.5249612490675213, yaw: -179.41650114744638, pitch: -3.2761564999576707, roll: 0.7773375095969378"
79,17,"(94, 111),(190, 97),(212, 162),(120, 193)","dist: 2.0329818585134727, yaw: 150.95775536271006, pitch: -12.67473640415517, roll: -15.219928706762675"
80,15,"(492, 81),(623, 84),(619, 215),(490, 213)","dist: 1.5028686302635996, yaw: -178.95988592247105, pitch: -4.174388127106415, roll: 0.8430034141355112"
80,17,"(102, 100),(198, 85),(218, 155),(129, 182)","dist: 2.070897418662908, yaw: 155.2494799670576, pitch: -12.560045728977048, roll: -14.620449431045714"
81,15,"(500, 74),(632, 77),(627, 210),(497, 207)","dist: 1.4928594516673304, yaw: -178.34017679562356, pitch: -4.324446460398646, roll: 1.029276147709015"
81,17,"(112, 92),(203, 75),(230, 144),(138, 175)","dist: 2.059735657376772, yaw: 155.86002364210105, pitch: -12.006245699580377, roll: -16.550484120299444"
82,15,"(493, 79),(626, 82),(621, 216),(489, 213)","dist: 1.4782279864984758, yaw: -178.03954364274688, pitch: -3.5993451636881293, roll: 1.1417283878641455"
83,15,"(492, 79),(626, 81),(623, 215),(490, 213)","dist: 1.4752591573970086, yaw: -179.59165582057375, pitch: -2.6631186541894394, roll: 0.776792972738878"
84,15,"(492, 83),(626, 85),(623, 219),(490, 217)","dist: 1.474557540214992, yaw: -179.55629241365472, pitch: -2.680559707869882, roll: 0.7762298303515525"
85,15,"(499, 81),(633, 84),(629, 217),(497, 215)","dist: 1.4821693671453604, yaw: -179.32135182520977, pitch: -2.989815981068877, roll: 0.9390667289390197"
85,17,"(101, 97),(198, 83),(219, 152),(128, 181)","dist: 2.037224712230885, yaw: -137.68353303572627, pitch: -3.313287286666555, roll: -13.63831804111112"
86,15,"(503, 81),(636, 84),(633, 217),(500, 215)","dist: 1.4828480080660047, yaw: -179.89204966038736, pitch: -3.0269695636860887, roll: 1.021141057914454"
87,15,"(507, 82),(640, 85),(637, 218),(504, 217)","dist: 1.4795620048935731, yaw: -179.12088638435446, pitch: -3.7490519937365665, roll: 0.7577813637660977"
87,17,"(105, 98),(202, 83),(223, 152),(132, 181)","dist: 2.0324611482799164, yaw: -137.1085127534314, pitch: -3.2752968078128717, roll: -13.900403954639371"
88,15,"(504, 86),(637, 89),(632, 222),(501, 220)","dist: 1.4857631312096293, yaw: -177.83073591242666, pitch: -3.986886835003512, roll: 0.8765612173286723"
89,15,"(501, 85),(634, 88),(630, 221),(497, 219)","dist: 1.483425207611703, yaw: -178.59926626431337, pitch: -2.7469937063305823, roll: 1.0660843702191667"
90,15,"(499, 87),(631, 91),(626, 224),(495, 222)","dist: 1.477064030333304, yaw: -177.85601495486898, pitch: -5.407543168516113, roll: 1.013740386148325"
91,15,"(493, 87),(626, 92),(621, 223),(489, 220)","dist: 1.4918100009293096, yaw: -179.89258542334474, pitch: -2.0219502715913857, roll: 1.7333698985780797"
92,15,"(494, 81),(627, 86),(622, 218),(490, 215)","dist: 1.4834530706138611, yaw: -179.58287846356245, pitch: -3.2349122699486075, roll: 1.6151648602032829"
93,15,"(495, 81),(628, 85),(623, 218),(491, 215)","dist: 1.4813237808122814, yaw: -178.80044740221865, pitch: -3.419070227576017, roll: 1.3785413565114266"
94,15,"(495, 80),(628, 84),(622, 217),(490, 213)","dist: 1.4884120122693008, yaw: -178.31183908821743, pitch: -2.325645435993563, roll: 1.700047085472373"
95,15,"(494, 77),(628, 80),(620, 215),(489, 210)","dist: 1.4829036448370516, yaw: -176.1967722296283, pitch: -2.7059198493815964, roll: 1.5797992854635314"
96,15,"(495, 74),(627, 76),(617, 213),(488, 207)","dist: 1.476115799099113, yaw: -173.73051588731118, pitch: -5.930854896280744, roll: 1.3146520670472908"
97,15,"(495, 74),(626, 74),(617, 211),(489, 206)","dist: 1.483932268021227, yaw: -173.42157001915015, pitch: 32.340835534952284, roll: 5.174443471998671"
98,15,"(496, 71),(626, 72),(615, 210),(490, 204)","dist: 1.473959256377919, yaw: -172.25344814302582, pitch: 35.48784835791614, roll: 6.358059348936512"
99,15,"(498, 71),(626, 71),(614, 210),(492, 203)","dist: 1.4726028507943563, yaw: -172.2372285995233, pitch: 38.308882015677284, roll: 6.922676942090539"
99,17,"(86, 85),(179, 67),(209, 138),(115, 171)","dist: 2.022314211644001, yaw: 157.91844311913434, pitch: -14.12443999936467, roll: -17.65679872500232"
100,15,"(502, 71),(626, 68),(617, 208),(498, 204)","dist: 1.465325914828609, yaw: -172.79875454531992, pitch: 42.58765168431755, roll: 6.086069755233631"
101,15,"(509, 71),(628, 68),(617, 208),(504, 203)","dist: 1.4715976598561709, yaw: -172.52273700613506, pitch: 46.82935949549417, roll: 7.338163940521461"
102,15,"(512, 71),(630, 67),(617, 207),(509, 201)","dist: 1.4820205068819812, yaw: -171.8348269923393, pitch: 48.68243197252839, roll: 7.964065340278011"
103,15,"(517, 71),(631, 66),(619, 207),(513, 201)","dist: 1.477822229184862, yaw: -171.8004536251387, pitch: 51.297378598854785, roll: 8.275941521961816"
104,15,"(529, 72),(636, 67),(622, 209),(524, 202)","dist: 1.475025123489731, yaw: -170.63975179576357, pitch: 56.73564226340632, roll: 10.305965234554598"
104,17,"(93, 86),(191, 74),(213, 142),(119, 171)","dist: 2.003337574080669, yaw: 153.17200835164942, pitch: -13.585802611564839, roll: -14.202076103897637"
105,15,"(532, 75),(635, 71),(620, 214),(526, 206)","dist: 1.463595475063135, yaw: -169.58625103007762, pitch: 59.41017849108961, roll: 11.811115190592314"
105,17,"(92, 90),(191, 76),(213, 144),(118, 174)","dist: 1.980297223812025, yaw: 151.81674537714187, pitch: -12.41167013065898, roll: -14.749992149352686"
106,15,"(530, 82),(627, 77),(612, 220),(524, 211)","dist: 1.4689064839338712, yaw: -169.34526129016268, pitch: 62.134300206870336, roll: 12.428001393633643"
106,17,"(87, 97),(185, 84),(204, 155),(114, 182)","dist: 2.055858152007257, yaw: 156.49930935626242, pitch: -13.531409907025852, roll: -13.995829447971698"
107,15,"(528, 87),(618, 81),(605, 223),(522, 215)","dist: 1.4771560848492447, yaw: -169.46711394628667, pitch: 64.76464233588283, roll: 12.292203368858079"
108,15,"(526, 87),(614, 81),(599, 224),(521, 215)","dist: 1.4696576627941533, yaw: -168.13272257626767, pitch: 66.43706411738385, roll: 13.833533838701447"
109,15,"(525, 81),(603, 76),(588, 218),(519, 207)","dist: 1.4850908192609524, yaw: -162.54239412896433, pitch: 69.84403444622909, roll: 19.374777150797282"
110,15,"(530, 78),(606, 73),(592, 215),(525, 204)","dist: 1.4885691392662785, yaw: -160.23247183195826, pitch: 70.92861029830684, roll: 21.129324259306127"
110,17,"(78, 106),(177, 91),(202, 155),(105, 188)","dist: 1.954460516166418, yaw: 148.32211786225938, pitch: -13.820082124949852, roll: -15.882512628468557"
111,15,"(533, 77),(610, 72),(595, 214),(529, 203)","dist: 1.4902207035264878, yaw: -159.75547011960214, pitch: 71.09891868569478, roll: 21.577689919738543"
112,15,"(553, 70),(629, 65),(613, 207),(546, 196)","dist: 1.4999317072100782, yaw: -157.88997180741433, pitch: 71.98996484878153, roll: 24.080488852625557"
113,15,"(556, 69),(631, 65),(616, 207),(550, 197)","dist: 1.492479210943919, yaw: -156.17680328793728, pitch: 72.76310390675295, roll: 25.294371345649562"
114,15,"(556, 71),(632, 66),(616, 208),(549, 197)","dist: 1.5008767895827169, yaw: -157.79410650689593, pitch: 72.19148803019706, roll: 24.185990676993807"
114,17,"(105, 99),(197, 82),(222, 152),(132, 182)","dist: 2.080242206563711, yaw: 157.04144467519473, pitch: -12.404159328757197, roll: -16.3208154155714"
115,15,"(552, 72),(627, 68),(612, 210),(546, 199)","dist: 1.4942684136942808, yaw: -156.50298765143984, pitch: 72.43211534084942, roll: 24.983159808471562"
115,17,"(101, 102),(194, 83),(219, 153),(130, 184)","dist: 2.075951634453037, yaw: 156.78228018364499, pitch: -12.17283241815074, roll: -17.19544360933305"
116,15,"(549, 74),(624, 70),(608, 212),(543, 200)","dist: 1.496530025908244, yaw: -156.46125931565422, pitch: 72.32894758298319, roll: 25.267616907603916"
